Vou No.,Vou Date,Party Name,GSTIN No.,City,Place of Supply,Product Name,HSN Code,Quantity-1,Item Amount,Expense / Discount,Tax %,Taxable Amt.,IGST,CGST,SGST,Cess,Bill Amount
SCT/1,4/1/2024,NIKHIL CERAMICS,27AAAPN4105D1ZA,MUMBAI,Maharashtra,CERAMIC GLAZE TILES,69072300,1279,"153,480.00",-10222,18.00,"143,258.00","25,786.00",0.00,0.00,0.00,"169,044.00"
SCT/2,4/1/2024,TERENZA TILES LLP,24AARFT9990P1ZU,MORBI,Gujarat,CERAMIC GLAZE TILES,69072300,260,"31,200.00",0,18.00,"31,200.00",0.00,"2,808.20","2,808.20",0.00,"205,462.00"
SCT/2,4/1/2024,TERENZA TILES LLP,24AARFT9990P1ZU,MORBI,Gujarat,CERAMIC GLAZE TILES,69072300,1191,"142,920.00",0,18.00,"142,920.00",0.00,"12,862.80","12,862.80",0.00,"205,462.00"
SCT/3,4/1/2024,KHUSH MARBLE & SANITARY,08CJCPC0186J1ZC,PUNALI,Rajasthan,BROKEN TILES,69072300,3737,"1,121.00",0,18.00,"1,121.00",201.40,0.00,0.00,0.00,"36,864.00"
SCT/3,4/1/2024,KHUSH MARBLE & SANITARY,08CJCPC0186J1ZC,PUNALI,Rajasthan,CERAMIC GLAZE TILES,69072300,251,"30,120.00",0,18.00,"30,120.00","5,421.60",0.00,0.00,0.00,"36,864.00"
SCT/4,4/1/2024,GUDLANARVA BALARAJU,,MAHBUBNAGAR,Telangana,CERAMIC GLAZE TILES,69072300,229,"27,480.00",0,18.00,"27,480.00","4,946.60",0.00,0.00,0.00,"296,369.00"
SCT/4,4/1/2024,GUDLANARVA BALARAJU,,MAHBUBNAGAR,Telangana,CERAMIC GLAZE TILES,69072300,1864,"223,680.00",0,18.00,"223,680.00","40,262.40",0.00,0.00,0.00,"296,369.00"
SCT/5,4/1/2024,BLACKWELL TILES,24CQFPR9774K1Z0,Morbi,Gujarat,CERAMIC GLAZE TILES,69072300,1620,"194,400.00",0,18.00,"194,400.00",0.00,"17,496.00","17,496.00",0.00,"229,392.00"
SCT/6,4/1/2024,NAVKAR CERAMICS,27AJYPJ5721G1ZT,MUMBAI,Maharashtra,CERAMIC GLAZE TILES,69072300,200,"24,000.00",-1625.1,18.00,"22,375.18","4,027.87",0.00,0.00,0.00,"386,140.00"
SCT/6,4/1/2024,NAVKAR CERAMICS,27AJYPJ5721G1ZT,MUMBAI,Maharashtra,CERAMIC GLAZE TILES,69072300,2725,"327,000.00",-22137.9,18.00,"304,861.82","54,875.13",0.00,0.00,0.00,"386,140.00"
SCT/7,4/1/2024,SHOAIB ENTERPRISES,09CRZPK3613H1ZA,BAREILLY,Uttar Pradesh,CERAMIC GLAZE TILES,69072300,2986,"268,740.00",-134370,18.00,"134,370.00","24,187.00",0.00,0.00,0.00,"158,557.00"
SCT/8,4/1/2024,BHOOMI TILES AND STONE,27AHGPG5644M2ZZ,NAGPUR,Maharashtra,CERAMIC GLAZE TILES,69072300,580,"69,600.00",-4788.85,18.00,"64,811.46","11,666.14",0.00,0.00,0.00,"447,921.00"
SCT/8,4/1/2024,BHOOMI TILES AND STONE,27AHGPG5644M2ZZ,NAGPUR,Maharashtra,CERAMIC GLAZE TILES,69072300,2817,"338,040.00",-23257.15,18.00,"314,782.54","56,660.86",0.00,0.00,0.00,"447,921.00"
SCT/9,4/1/2024,SHREE GANESH TILES,29AXHPV6112E1ZB,BENGALURU,Karnataka,CERAMIC GLAZE TILES,69072300,491,"58,920.00",0,18.00,"58,920.00","10,605.80",0.00,0.00,0.00,"576,737.00"
SCT/9,4/1/2024,SHREE GANESH TILES,29AXHPV6112E1ZB,BENGALURU,Karnataka,CERAMIC GLAZE TILES,69072300,3582,"429,840.00",0,18.00,"429,840.00","77,371.20",0.00,0.00,0.00,"576,737.00"
SCT/10,4/1/2024,SHREE CERA TILES,24AESFS2810Q1ZF,LALPAR,Gujarat,CERAMIC GLAZE TILES,69072300,611,"73,320.00",-6107.17,18.00,"67,212.52",0.00,"6,049.36","6,049.36",0.00,"409,405.00"
SCT/10,4/1/2024,SHREE CERA TILES,24AESFS2810Q1ZF,LALPAR,Gujarat,CERAMIC GLAZE TILES,69072300,2543,"305,160.00",-25419.83,18.00,"279,740.48",0.00,"25,176.64","25,176.64",0.00,"409,405.00"
SCT/11,4/1/2024,ADMART GRANITO,24ABZFA4765G1ZZ,MORBI,Gujarat,CERAMIC GLAZE TILES,69072300,79,"9,480.00",0,18.00,"9,480.00",0.00,853.40,853.40,0.00,"230,950.00"
SCT/11,4/1/2024,ADMART GRANITO,24ABZFA4765G1ZZ,MORBI,Gujarat,CERAMIC GLAZE TILES,69072300,1552,"186,240.00",0,18.00,"186,240.00",0.00,"16,761.60","16,761.60",0.00,"230,950.00"
SCT/12,4/2/2024,LEORA CERAMIC LLP,24AAKFL1240R1Z2,MORBI,Gujarat,CERAMIC GLAZE TILES,69072300,171,"20,520.00",-1709.74,18.00,"18,810.64",0.00,"1,693.03","1,693.03",0.00,"241,047.00"
SCT/12,4/2/2024,LEORA CERAMIC LLP,24AAKFL1240R1Z2,MORBI,Gujarat,CERAMIC GLAZE TILES,69072300,1686,"202,320.00",-16853.26,18.00,"185,466.36",0.00,"16,691.97","16,691.97",0.00,"241,047.00"
SCT/13,4/2/2024,SAI UDYOG,02BMFPD9863G1Z4,HAMIRPUR,Himachal Pradesh,CERAMIC GLAZE TILES,69072300,438,"52,560.00",-4378.06,18.00,"48,181.79","8,673.10",0.00,0.00,0.00,"286,220.00"
SCT/13,4/2/2024,SAI UDYOG,02BMFPD9863G1Z4,HAMIRPUR,Himachal Pradesh,CERAMIC GLAZE TILES,69072300,486,"58,320.00",-4858.06,18.00,"53,461.98","9,623.16",0.00,0.00,0.00,"286,220.00"
SCT/13,4/2/2024,SAI UDYOG,02BMFPD9863G1Z4,HAMIRPUR,Himachal Pradesh,CERAMIC GLAZE TILES,69072300,1281,"153,720.00",-12804.88,18.00,"140,915.23","25,364.74",0.00,0.00,0.00,"286,220.00"
SCT/14,4/2/2024,DEEPAK TRADERS,09AWQPS5685P1Z2,GOLA GOKRANNATH,Uttar Pradesh,CERAMIC GLAZE TILES,69072300,243,"29,160.00",-2428.89,18.00,"26,730.98","4,811.62",0.00,0.00,0.00,"385,001.00"
SCT/14,4/2/2024,DEEPAK TRADERS,09AWQPS5685P1Z2,GOLA GOKRANNATH,Uttar Pradesh,CERAMIC GLAZE TILES,69072300,2723,"326,760.00",-27219.11,18.00,"299,541.02","53,917.38",0.00,0.00,0.00,"385,001.00"
SCT/15,4/2/2024,SHREE RADHE KRISHNA TILES AND SANITARY WARE,06BIEPK0384A1ZS,GURGAON,Haryana,CERAMIC GLAZE TILES,69072300,3482,"417,840.00",-14666,18.00,"403,174.00","72,571.00",0.00,0.00,0.00,"475,745.00"
SCT/16,4/2/2024,LEORA CERAMIC LLP,24AAKFL1240R1Z2,MORBI,Gujarat,CERAMIC GLAZE TILES,69072300,487,"58,440.00",-4867.67,18.00,"53,572.02",0.00,"4,821.08","4,821.08",0.00,"312,180.00"
SCT/16,4/2/2024,LEORA CERAMIC LLP,24AAKFL1240R1Z2,MORBI,Gujarat,CERAMIC GLAZE TILES,69072300,1918,"230,160.00",-19172.33,18.00,"210,987.98",0.00,"18,988.92","18,988.92",0.00,"312,180.00"
