Vou No.,Vou Date,Party Name,GSTIN No.,City,Place of Supply,,Product Name,HSN Code,Quantity-1,Item Amount,Expense / Discount,Tax %,Taxable Amt.,IGST,CGST,SGST,Cess,Bill Amount
SE/1,01 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,14.2 Kg [Non/Sub Dom H/Hold].,27111100,318,"2,47,737.14",0,5,"2,47,737.14",0,"6,193.43","6,193.43",0,"2,60,737.00"
SE/1,01 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,5 KG HOUSEHOLD,27111100,2,583.81,-0.01,5,583.81,0,14.6,14.6,0,"2,60,737.00"
SE/2,02 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,14.2 Kg [Non/Sub Dom H/Hold].,27111100,390,"3,03,828.57",-0.24,5,"3,03,828.57",0,"7,595.71","7,595.71",0,"3,19,939.00"
SE/2,02 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,5 KG HOUSEHOLD,27111100,3,875.71,-0.24,5,875.71,0,21.89,21.89,0,"3,19,939.00"
SE/28,02 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,18_AMOUNT,732111,0,113.56,0,18,113.56,0,10.22,10.22,0,134
SE/3,03 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,14.2 Kg [Non/Sub Dom H/Hold].,27111100,328,"2,55,527.62",0.06,5,"2,55,527.62",0,"6,388.19","6,388.19",0,"2,90,600.00"
SE/3,03 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,19 KG XTRA TEJ,27111100,10,"18,635.00",0.07,18,"18,635.00",0,"1,677.15","1,677.15",0,"2,90,600.00"
SE/3,03 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,5 KG HOUSEHOLD,27111100,1,291.9,0.07,5,291.9,0,7.3,7.3,0,"2,90,600.00"
SE/29,03 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,18_AMOUNT,732111,0,100,0,18,100,0,9,9,0,118
SE/4,04 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,14.2 Kg [Non/Sub Dom H/Hold].,27111100,222,"1,72,948.57",-0.24,5,"1,72,948.57",0,"4,323.71","4,323.71",0,"1,81,902.00"
SE/4,04 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,5 KG HOUSEHOLD,27111100,1,291.9,-0.25,5,291.9,0,7.3,7.3,0,"1,81,902.00"
SE/5,05 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,14.2 Kg [Non/Sub Dom H/Hold].,27111100,358,"2,78,899.05",0.07,5,"2,78,899.05",0,"6,972.48","6,972.48",0,"3,03,119.00"
SE/5,05 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,19 KG XTRA TEJ,27111100,3,"5,590.50",0.06,18,"5,590.50",0,503.15,503.15,0,"3,03,119.00"
SE/5,05 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,5 KG HOUSEHOLD,27111100,12,"3,502.86",0.06,5,"3,502.86",0,87.57,87.57,0,"3,03,119.00"
SE/30,05 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,SERVICE_18,996913,0,100,0,18,100,0,9,9,0,118
SE/6,06 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,14.2 Kg [Non/Sub Dom H/Hold].,27111100,319,"2,48,516.19",0.04,5,"2,48,516.19",0,"6,212.90","6,212.90",0,"2,85,029.00"
SE/6,06 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,19 KG XTRA TEJ,27111100,10,"18,635.00",0.06,18,"18,635.00",0,"1,677.15","1,677.15",0,"2,85,029.00"
SE/6,06 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,5 KG HOUSEHOLD,27111100,3,875.71,0.06,5,875.71,0,21.89,21.89,0,"2,85,029.00"
SE/6,06 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,10 KG EXTRA LITE,27111100,2,"1,121.90",0.06,5,"1,121.90",0,28.05,28.05,0,"2,85,029.00"
SE/7,08 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,14.2 Kg [Non/Sub Dom H/Hold].,27111100,357,"2,78,120.00",0.01,5,"2,78,120.00",0,"6,953.00","6,953.00",0,"2,96,064.00"
SE/7,08 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,5 KG HOUSEHOLD,27111100,6,"1,751.43",0.02,5,"1,751.43",0,43.79,43.79,0,"2,96,064.00"
SE/7,08 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,19 KG XTRA TEJ,27111100,1,"1,863.50",0.02,18,"1,863.50",0,167.72,167.72,0,"2,96,064.00"
SE/8,09 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,14.2 Kg [Non/Sub Dom H/Hold].,27111100,301,"2,34,493.33",-0.07,5,"2,34,493.33",0,"5,862.33","5,862.33",0,"2,70,022.00"
SE/8,09 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,19 KG XTRA TEJ,27111100,10,"18,635.00",-0.07,18,"18,635.00",0,"1,677.15","1,677.15",0,"2,70,022.00"
SE/8,09 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,5 KG HOUSEHOLD,27111100,4,"1,167.62",-0.07,5,"1,167.62",0,29.19,29.19,0,"2,70,022.00"
SE/8,09 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,10 KG EXTRA LITE,27111100,1,560.95,-0.07,5,560.95,0,14.02,14.02,0,"2,70,022.00"
SE/9,10 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,14.2 Kg [Non/Sub Dom H/Hold].,27111100,397,"3,09,281.90",0.01,5,"3,09,281.90",0,"7,732.05","7,732.05",0,"3,26,561.00"
SE/9,10 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,5 KG HOUSEHOLD,27111100,4,"1,167.62",0,5,"1,167.62",0,29.19,29.19,0,"3,26,561.00"
SE/9,10 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,10 KG EXTRA LITE,27111100,1,560.95,0,5,560.95,0,14.02,14.02,0,"3,26,561.00"
SE/31,10 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,18_AMOUNT,732111,0,100,0,18,100,0,9,9,0,118
SE/10,11 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,14.2 Kg [Non/Sub Dom H/Hold].,27111100,289,"2,25,144.76",0.25,5,"2,25,144.76",0,"5,628.62","5,628.62",0,"2,36,709.00"
SE/10,11 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,5 KG HOUSEHOLD,27111100,1,291.9,0.25,5,291.9,0,7.3,7.3,0,"2,36,709.00"
SE/11,12 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,14.2 Kg [Non/Sub Dom H/Hold].,27111100,363,"2,82,794.29",-0.17,5,"2,82,794.29",0,"7,069.86","7,069.86",0,"3,03,143.00"
SE/11,12 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,5 KG HOUSEHOLD,27111100,3,875.71,-0.16,5,875.71,0,21.89,21.89,0,"3,03,143.00"
SE/11,12 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,5 Kg ND CYLINDER FTL [POS],27111100,10,"4,483.05",-0.16,18,"4,483.05",0,403.47,403.47,0,"3,03,143.00"
SE/32,12 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,18_AMOUNT,732111,0,50,0,18,50,0,4.5,4.5,0,59
SE/12,13 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,14.2 Kg [Non/Sub Dom H/Hold].,27111100,318,"2,47,737.14",-0.09,5,"2,47,737.14",0,"6,193.43","6,193.43",0,"2,84,925.00"
SE/12,13 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,19 KG XTRA TEJ,27111100,11,"20,498.50",-0.08,18,"20,498.50",0,"1,844.87","1,844.87",0,"2,84,925.00"
SE/12,13 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,5 KG HOUSEHOLD,27111100,2,583.81,-0.08,5,583.81,0,14.6,14.6,0,"2,84,925.00"
SE/13,15 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,14.2 Kg [Non/Sub Dom H/Hold].,27111100,300,"2,33,714.29",0.05,5,"2,33,714.29",0,"5,842.86","5,842.86",0,"2,51,024.00"
SE/13,15 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,19 KG XTRA TEJ,27111100,2,"3,727.00",0.04,18,"3,727.00",0,335.43,335.43,0,"2,51,024.00"
SE/13,15 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,5 KG HOUSEHOLD,27111100,4,"1,167.62",0.04,5,"1,167.62",0,29.19,29.19,0,"2,51,024.00"
SE/14,16 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,14.2 Kg [Non/Sub Dom H/Hold].,27111100,369,"2,87,468.57",0.01,5,"2,87,468.57",0,"7,186.71","7,186.71",0,"3,04,246.00"
SE/14,16 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,5 KG HOUSEHOLD,27111100,4,"1,167.62",0,5,"1,167.62",0,29.19,29.19,0,"3,04,246.00"
SE/14,16 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,10 KG EXTRA LITE,27111100,2,"1,121.90",0,5,"1,121.90",0,28.05,28.05,0,"3,04,246.00"
SE/33,16 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,18_AMOUNT,732111,0,261.02,0,18,261.02,0,23.49,23.49,0,780
SE/33,16 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,SERVICE_18,996913,0,400,0,18,400,0,36,36,0,780
SE/15,17 April 2024,Customer Cash Party,,CHANSMA,Gujarat,,14.2 Kg [Non/Sub Dom H/Hold].,27111100,327,"2,54,748.57",-0.08,5,"2,54,748.57",0,"6,368.71","6,368.71",0,"2,90,677.00"
